"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"ncdf4","ncdf4","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.17",NA,NA,NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.1"
"ncmeta","ncmeta","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.0",NA,"R (>= 3.3.0)","dplyr, rlang, RNetCDF, tibble, stats, tidyr",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"network","network","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.16.0",NA,"R (>= 2.10), utils","tibble, magrittr",NA,"sna, statnet.common, testthat, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"networkD3","networkD3","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4",NA,"R (>= 3.0.0)","htmlwidgets (>= 0.3.2), igraph, magrittr",NA,"htmltools (>= 0.2.6), jsonlite,","knitr, shiny","GPL (>= 3)",NA,NA,NA,NA,"no","3.6.1"
"nimble","nimble","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.9.0",NA,"R (>= 3.1.2)","methods,igraph,coda,R6",NA,"testthat",NA,"BSD_3_clause + file LICENSE | GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"NISTunits","NISTunits","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.1",NA,"R (>= 2.7.0)",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.1"
"nleqslv","nleqslv","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.3.2",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"nloptr","nloptr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2.2.1",NA,NA,NA,NA,"testthat (>= 0.8.1), knitr, rmarkdown, inline (>= 0.3.14)",NA,"LGPL-3",NA,NA,NA,NA,"yes","3.6.1"
"NLP","NLP","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2-0",NA,"R (>= 3.2.0)","utils",NA,NA,"udpipe, spacyr, cleanNLP","GPL-3",NA,NA,NA,NA,"no","3.6.1"
"nls.multstart","nls.multstart","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.0",NA,"R (>= 3.2.1)","minpack.lm, purrr, dplyr, tidyr, tibble",NA,"ggplot2, broom, nlstools, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"nls2","nls2","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2",NA,"proto",NA,NA,"nlstools",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"nlshelper","nlshelper","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2",NA,"nlme, broom, dplyr, mgcv, magicaxis",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"nlstools","nlstools","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0-2",NA,"stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"nngeo","nngeo","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3.7",NA,"R (>= 3.5.0), sf (>= 0.6)","RANN, units, methods, lwgeom, parallel",NA,"DBI, RPostgreSQL, stars, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"npsurv","npsurv","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4-0",NA,"lsei","methods",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"nsprcomp","nsprcomp","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.5.1-2",NA,"R (>= 3.4.0)","stats",NA,"MASS, testthat (>= 0.8), roxygen2",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"numDeriv","numDeriv","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"nycflights13","nycflights13","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.1",NA,"R (>= 3.2)","tibble",NA,"dplyr",NA,"CC0",NA,NA,NA,NA,"no","3.6.1"
"oce","oce","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2-0",NA,"R (>= 2.15), gsw, methods, testthat, utils","Rcpp","Rcpp","akima, automap, DBI, foreign, knitr, lubridate, ncdf4,
ocedata, raster (>= 1.4.3), rgeos, rgdal, rmarkdown, RSQLite,
R.utils, sf, sp, tiff, XML",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"odbc","odbc","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2.2",NA,"R (>= 3.2.0)","bit64, blob (>= 1.2.0), DBI (>= 1.0.0), hms, methods, rlang,
Rcpp (>= 0.12.11)","BH, Rcpp","covr, DBItest, magrittr, RSQLite, testthat, tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"onehot","onehot","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.1",NA,NA,NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"opencage","opencage","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.4",NA,NA,"httr, jsonlite, dplyr, memoise",NA,"testthat, lintr, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"openssl","openssl","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4.1",NA,NA,"askpass",NA,"testthat, digest, knitr, rmarkdown, jsonlite, jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"openxlsx","openxlsx","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","4.1.4",NA,"R (>= 3.3.0)","grDevices, methods, Rcpp, stats, utils, zip, stringi","Rcpp","knitr, testthat, roxygen2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"opera","opera","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1",NA,"R (>= 3.1.0)","",NA,"quantreg, quadprog, RColorBrewer, testthat, splines, caret,
mgcv, survival, knitr, gbm, htmltools",NA,"LGPL",NA,NA,NA,NA,"no","3.6.1"
"optimx","optimx","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2020-2.2",NA,NA,"numDeriv",NA,"knitr, rmarkdown, setRNG, BB, ucminf, minqa, dfoptim,
lbfgsb3c, lbfgs, subplex",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"ordinal","ordinal","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2019.12-10",NA,"R (>= 2.13.0), stats, methods","ucminf, MASS, Matrix, numDeriv",NA,"lme4, nnet, xtable, testthat (>= 0.8), tools",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"osmdata","osmdata","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.3",NA,"R (>= 3.2.4)","curl, httr, lubridate, magrittr, methods, Rcpp (>= 0.12.4),
rvest, jsonlite, sp, tibble, utils, xml2","Rcpp","devtools, knitr, pkgdown, raster, rmarkdown, roxygen2, sf,
testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"packagedocs","packagedocs","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4.0",NA,"R (>= 3.1.1)","crayon, devtools, digest, evaluate, highlight, htmltools,
lazyrmd (>= 0.2.0), magrittr, rmarkdown, stringr, tools,
whisker, yaml",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"packrat","packrat","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.5.0",NA,"R (>= 3.0.0)","tools, utils",NA,"testthat (>= 0.7), devtools, httr, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"padr","padr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.5.1",NA,"R (>= 3.0.0)","Rcpp, dplyr (>= 0.6.0), lubridate, rlang","Rcpp","ggplot2, testthat, knitr, rmarkdown, lazyeval, tidyr,
data.table",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"pan","pan","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.6",NA,NA,NA,NA,"mitools, lme4",NA,"GPL-3",NA,"no",NA,NA,"yes","3.6.1"
"pander","pander","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.6.3",NA,"R (>= 2.15.0)","grDevices, graphics, methods, utils, stats, digest, tools,
Rcpp","Rcpp","grid, lattice, ggplot2 (>= 0.9.2), sylly, sylly.en,
futile.logger, survival, microbenchmark, zoo, nlme, descr,
MASS, knitr, rmarkdown, tables, reshape, memisc, Epi,
randomForest, tseries, gtable, rms, forecast, data.table",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"parallelMap","parallelMap","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.5.0",NA,"R (>= 3.0.0)","BBmisc (>= 1.8), checkmate (>= 1.8.0), parallel, stats, utils",NA,"BatchJobs (>= 1.8), batchtools (>= 0.9.6), data.table, Rmpi,
rpart, snow, testthat",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"parameters","parameters","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.6.0",NA,"R (>= 3.2)","bayestestR (>= 0.5.0), insight (>= 0.8.1), methods, stats,
tools, utils",NA,"AER, aod, BayesFactor, BayesFM, betareg, boot, brglm2, brms,
cAIC4, clubSandwich, cluster, covr, cplm, dplyr, DRR,
effectsize, EGAnet (>= 0.7), FactoMineR, fastICA, gamlss, gee,
geepack, GLMMadaptive, glmmTMB, GPArotation, lavaan,
lavaSearch2, lme4, lmerTest, logspline, knitr, MASS, Matrix,
mclust, MCMCglmm, metafor, mgcv, multimode, MuMIn, M3C,
NbClust, nFactors, nlme, panelr, performance, plm, projpred,
pscl, psych, randomForest, rmarkdown, rstanarm, sandwich, see,
sjstats, spelling, survey, survival, testthat, TMB, truncreg,
VGAM, Zelig",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"ParamHelpers","ParamHelpers","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.14",NA,NA,"backports, BBmisc (>= 1.10), checkmate (>= 1.8.2), fastmatch,
methods",NA,"akima, covr, eaf, emoa, GGally, ggplot2, grid, gridExtra,
irace (>= 2.1), lhs, plyr, reshape2, testthat",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"parsnip","parsnip","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.0",NA,"R (>= 2.10)","dplyr (>= 0.8.0.1), rlang (>= 0.3.1), purrr, utils, tibble (>=
2.1.1), generics, glue, magrittr, stats, tidyr, globals,
prettyunits, vctrs (>= 0.2.0)",NA,"testthat, knitr, rmarkdown, survival, keras, xgboost, covr,
C50, sparklyr (>= 1.0.0), earth, kernlab, kknn, randomForest,
ranger, rpart, MASS, nlme, modeldata",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"patchwork","patchwork","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.0",NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"pbapply","pbapply","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4-2",NA,"R (>= 3.2.0)","parallel",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"pbdZMQ","pbdZMQ","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3-3",NA,"R (>= 3.2.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"pbivnorm","pbivnorm","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.6.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"pbkrtest","pbkrtest","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4-8.6",NA,"R (>= 3.6.0), lme4 (>= 1.1.10)","Matrix (>= 1.2.3), parallel, magrittr, MASS, methods",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"pcaPP","pcaPP","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.9-73",NA,NA,"mvtnorm",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.1"
"pdist","pdist","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2",NA,"methods",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,NA,"3.6.1"
"pdp","pdp","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.7.0",NA,"R (>= 3.2.5)","ggplot2 (>= 0.9.0), grDevices, gridExtra, lattice, magrittr,
methods, mgcv, plyr, stats, viridis, utils",NA,"adabag, AmesHousing, C50, caret, Cubist, doParallel, dplyr,
e1071, earth, gbm, ipred, keras, kernlab, MASS, mda, nnet,
party, partykit, progress, randomForest, ranger, rpart,
testthat, xgboost (>= 0.6-0), knitr, rmarkdown, vip",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"PerformanceAnalytics","PerformanceAnalytics","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.0.4",NA,"R (>= 3.5.0), xts (>= 0.10.0)","methods, quadprog, zoo",NA,"dygraphs, Hmisc, MASS, quantmod, gamlss, gamlss.dist,
robustbase, quantreg, tinytest, ggplot2, RColorBrewer,
googleVis, plotly, gridExtra, ggpubr, RPESE, R.rsp, RobStatTM",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"perm","perm","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0-0.0",NA,"R (>= 2.2.1), stats",NA,NA,"coin",NA,"GPL",NA,NA,NA,NA,NA,"3.6.1"
"pgirmess","pgirmess","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.6.9",NA,NA,"boot (>= 1.3-4), maptools (>= 0.8-36), rgdal (>= 0.7-8), rgeos
(>= 0.3-8), sp (>= 0.9-97), spdep (>= 0.5-43), splancs (>=
2.01-31)",NA,"MASS (>= 7.3-1), nlme (>= 3.1-120)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"pillar","pillar","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4.3",NA,NA,"cli, crayon (>= 1.3.4), fansi, rlang (>= 0.3.0), utf8 (>=
1.1.0), vctrs (>= 0.2.0)",NA,"knitr, lubridate, testthat (>= 2.0.0), withr",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"pkgbuild","pkgbuild","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.6",NA,"R (>= 3.1)","callr (>= 3.2.0), cli, crayon, desc, prettyunits, R6,
rprojroot, withr (>= 2.1.2)",NA,"Rcpp, testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"pkgconfig","pkgconfig","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"pkgload","pkgload","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.2",NA,NA,"desc, methods, pkgbuild, rlang, rprojroot, rstudioapi, utils,
withr",NA,"bitops, covr, Rcpp, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"pkgmaker","pkgmaker","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.31.1",NA,"R (>= 3.0.0), methods, stats, registry","tools, grDevices, utils, graphics, codetools, digest, stringi,
magrittr, stringr, xtable, withr, bibtex (>= 0.4), assertthat",NA,"devtools (>= 0.8), roxygen2, RUnit, testthat, knitr,
rmarkdown, yaml, Biobase, datasets",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"PKI","PKI","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1-5.1",NA,"R (>= 2.9.0), base64enc",NA,NA,NA,"gmp","GPL-2 | GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"plm","plm","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.2-3",NA,"R (>= 3.1.0)","MASS, bdsmatrix, zoo, nlme, sandwich, lattice, lmtest, maxLik,
Rdpack, Formula, stats",NA,"AER, car, pcse, clusterSEs, clubSandwich, pglm, spdep, splm,
statmod, urca, Ecdat, pder, stargazer, texreg, foreign, knitr,
rmarkdown, bookdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"plogr","plogr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"plot3D","plot3D","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.3",NA,"R (>= 2.15)","misc3d, stats, graphics, grDevices, methods",NA,NA,NA,"GPL (>= 3.0)",NA,NA,NA,NA,"no","3.6.1"
"plotly","plotly","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","4.9.2.1",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr, jsonlite (>= 1.6), magrittr, digest,
viridisLite, base64enc, htmltools (>= 0.3.6), htmlwidgets (>=
1.3), tidyr, hexbin, RColorBrewer, dplyr, tibble, lazyeval (>=
0.2.0), rlang, crosstalk, purrr, data.table, promises",NA,"MASS, maps, ggthemes, GGally, testthat, knitr, devtools,
shiny (>= 1.1.0), shinytest (>= 1.3.0), curl, rmarkdown,
vdiffr, Cairo, broom, webshot, listviewer, dendextend, sf,
maptools, rgeos, png, IRdisplay, processx, plotlyGeoAssets,
forcats",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"plotrix","plotrix","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.7-7",NA,"R (>= 3.5.0)","grDevices, graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"plotROC","plotROC","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.2.1",NA,"R (>= 3.0.0), ggplot2","methods, grid, gridSVG, shiny, plyr, rlang",NA,"knitr, testthat, stringr, survivalROC, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"pls","pls","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.7-2",NA,"R (>= 2.10)","grDevices, graphics, methods, stats",NA,"MASS, parallel, Rmpi, testthat, RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"plumber","plumber","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4.6",NA,"R (>= 3.0.0)","R6 (>= 2.0.0), stringi (>= 0.3.0), jsonlite (>= 0.9.16),
httpuv (>= 1.2.3), crayon",NA,"testthat (>= 0.11.0), XML, rmarkdown, PKI, base64enc,
htmlwidgets, visNetwork, analogsea",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"plyr","plyr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.8.6",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"png","png","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1-7",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"polspline","polspline","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.17",NA,NA,"stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"polyclip","polyclip","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.10-0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"BSL",NA,NA,NA,NA,"yes","3.6.1"
"polynom","polynom","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4-0",NA,NA,"stats, graphics",NA,"knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"pool","pool","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.4.3",NA,"R (>= 3.0.0), methods","DBI, R6, dplyr, dbplyr, later",NA,"testthat, tibble, RSQLite, RMySQL",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"prabclus","prabclus","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.3-2",NA,"R (>= 2.10), MASS, mclust",NA,NA,"spdep, spatialreg, bootstrap, maptools, foreign, mvtnorm",NA,"GPL",NA,NA,NA,NA,"no","3.6.1"
"pracma","pracma","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.2.9",NA,"R (>= 3.1.0)","graphics, grDevices, stats, utils",NA,"NlcOptim, quadprog",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.1"
"praise","praise","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"prettydoc","prettydoc","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3.1",NA,NA,"rmarkdown (>= 1.17)",NA,"knitr, KernSmooth",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","3.6.1"
"prettyunits","prettyunits","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.1",NA,NA,NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"pROC","pROC","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.16.2",NA,"R (>= 2.14)","methods, plyr, Rcpp (>= 0.11.1)","Rcpp","microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr, ggplot2",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.1"
"processx","processx","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.4.2",NA,NA,"ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.2.0), codetools, covr, crayon, curl, debugme,
parallel, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"prodlim","prodlim","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2019.11.13",NA,"R (>= 2.9.0)","Rcpp (>= 0.11.5), stats, grDevices, graphics, survival,
KernSmooth, lava","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"profileModel","profileModel","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.6.0",NA,"R (>= 2.6.0)",NA,NA,"MASS, gnm",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"profvis","profvis","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3.6",NA,"R (>= 3.0)","htmlwidgets (>= 0.3.2), stringr",NA,"knitr, ggplot2, rmarkdown, testthat, devtools, shiny,
htmltools",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"progress","progress","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2.2",NA,NA,"hms, prettyunits, R6, crayon",NA,"Rcpp, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"proj4","proj4","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0-10",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"promises","promises","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.0",NA,NA,"R6, Rcpp, later, rlang, stats, magrittr","later, Rcpp","testthat, future, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"proto","proto","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.0",NA,NA,NA,NA,"testthat, covr",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"protolite","protolite","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.1",NA,NA,"Rcpp (>= 0.12.12), jsonlite","Rcpp","spelling, curl, testthat, RProtoBuf, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"proxy","proxy","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4-23",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"pryr","pryr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.4",NA,"R (>= 3.1.0)","stringr, codetools, methods, Rcpp (>= 0.11.0)","Rcpp","testthat (>= 0.8.0)",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"ps","ps","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.3.2",NA,"R (>= 3.1)","utils",NA,"callr, covr, curl, pingr, processx (>= 3.1.0), R6, rlang,
testthat, tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"pscl","pscl","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.5.5",NA,NA,"MASS, datasets, grDevices, graphics, stats, utils",NA,"lattice, MCMCpack, car, lmtest, sandwich, zoo, coda, vcd,
mvtnorm, mgcv",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"pspline","pspline","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0-18",NA,"R (>= 2.0.0), stats, graphics",NA,NA,NA,NA,"Unlimited",NA,NA,NA,NA,"yes","3.6.1"
"psych","psych","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.9.12.31",NA,NA,"mnormt,parallel,stats,graphics,grDevices,methods,lattice,nlme",NA,"psychTools, GPArotation, lavaan, sem, lme4,Rcsdp, graph,
Rgraphviz",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"purrr","purrr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3.3",NA,"R (>= 3.2)","magrittr (>= 1.5), rlang (>= 0.3.1)",NA,"covr, crayon, dplyr (>= 0.7.8), knitr, rmarkdown, testthat,
tibble, tidyselect",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"qrnn","qrnn","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.0.5",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"qs","qs","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.21.2",NA,NA,"Rcpp, RApiSerialize","Rcpp, RApiSerialize","knitr, rmarkdown",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"quadprog","quadprog","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.5-8",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"Quandl","Quandl","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.10.0",NA,"R (>= 2.15.0), xts","httr (>= 0.6.1), zoo, jsonlite (>= 0.9.14)",NA,"testthat (>= 0.10.0), roxygen2, timeSeries",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
